transaction_id,batch_id,batch_type,event_timestamp,account_id,merchant_category,country,channel,payment_method,transaction_hour,amount,account_age_days,prior_chargebacks,login_velocity_24h,device_trust_score,ip_risk_score,merchant_risk_score,fraud_probability_simulated,label_fraud
00-0000000,0,baseline,2025-01-09 07:46:00,111503,utilities,US,web,netbanking,15,31.84,250,0,2,0.6841,0.1349,0.096,0.0126,0
00-0000001,0,baseline,2025-01-12 19:31:00,112524,food_delivery,GB,ios,card,5,252.39,651,0,3,0.6295,0.2134,0.181,0.0449,0
00-0000002,0,baseline,2025-01-05 19:36:00,101862,fashion,IN,android,card,0,124.55,584,0,3,0.881,0.2748,0.1306,0.0173,0
00-0000003,0,baseline,2025-01-08 17:25:00,108948,electronics,IN,ios,upi,0,73.84,233,0,3,0.8615,0.1238,0.0331,0.0094,0
00-0000004,0,baseline,2025-01-13 08:11:00,101203,utilities,US,android,card,11,71.44,141,0,3,0.8997,0.2642,0.0109,0.0171,0
00-0000005,0,baseline,2025-01-01 13:14:00,104332,fuel,AE,web,card,0,65.18,485,0,5,0.9383,0.3189,0.1469,0.0383,0
00-0000006,0,baseline,2025-01-11 18:24:00,106652,utilities,IN,web,card,6,40.17,337,0,0,0.7605,0.2083,0.6417,0.0124,0
00-0000007,0,baseline,2025-01-12 01:59:00,100644,fashion,BR,web,upi,1,30.92,445,0,3,0.6212,0.0729,0.0711,0.0188,0
00-0000008,0,baseline,2025-01-11 16:25:00,108817,utilities,NG,ios,card,11,211.11,346,0,5,0.9892,0.2193,0.1662,0.0264,0
00-0000009,0,baseline,2025-01-03 03:45:00,114604,electronics,IN,ios,upi,9,109.73,132,0,3,0.8083,0.1539,0.431,0.0149,0
00-0000010,0,baseline,2025-01-09 04:02:00,114208,fashion,DE,web,card,9,171.69,261,0,1,0.727,0.186,0.2387,0.0192,0
00-0000011,0,baseline,2025-01-03 07:57:00,108947,food_delivery,IN,android,card,12,38.01,221,0,2,0.8131,0.1607,0.1464,0.0088,0
00-0000012,0,baseline,2025-01-05 12:18:00,106178,electronics,IN,web,card,21,23.45,634,0,4,0.6736,0.0166,0.2213,0.012,0
00-0000013,0,baseline,2025-01-11 00:13:00,111853,fashion,IN,web,upi,21,194.26,272,0,2,0.7674,0.1528,0.145,0.0097,0
00-0000014,0,baseline,2025-01-11 12:55:00,113872,fuel,IN,pos,wallet,5,121.1,583,1,2,0.7464,0.0258,0.0012,0.012,0
