transaction_id,batch_id,batch_type,event_timestamp,account_id,merchant_category,country,channel,payment_method,transaction_hour,amount,account_age_days,prior_chargebacks,login_velocity_24h,device_trust_score,ip_risk_score,merchant_risk_score,fraud_probability_simulated,label_fraud
01-0000000,1,baseline,2025-02-02 18:37:00,104653,utilities,IN,pos,card,6,92.0,586,1,2,0.8697,0.142,0.3598,0.0164,0
01-0000001,1,baseline,2025-02-07 11:50:00,114152,fuel,BR,web,card,12,831.14,150,0,2,0.6877,0.0372,0.1095,0.0205,0
01-0000002,1,baseline,2025-02-04 12:24:00,110448,fashion,IN,android,card,2,116.08,253,0,2,0.9594,0.2351,0.0805,0.0109,0
01-0000003,1,baseline,2025-02-03 17:35:00,105391,fuel,IN,web,card,1,506.06,286,0,6,0.8481,0.3585,0.0301,0.0494,0
01-0000004,1,baseline,2025-02-11 17:14:00,102022,grocery,US,ios,card,23,119.76,191,0,3,0.8726,0.0203,0.1609,0.0174,0
01-0000005,1,baseline,2025-02-14 18:56:00,111772,food_delivery,GB,android,card,7,414.34,997,0,4,0.8948,0.2882,0.0784,0.0257,0
01-0000006,1,baseline,2025-02-08 20:33:00,105978,electronics,IN,ios,card,7,201.92,523,0,0,0.7914,0.2083,0.2556,0.0089,0
01-0000007,1,baseline,2025-02-08 19:15:00,108869,food_delivery,IN,android,card,4,25.07,71,0,6,0.9176,0.2465,0.1378,0.026,0
01-0000008,1,baseline,2025-02-09 06:30:00,109293,electronics,IN,android,upi,1,167.6,642,0,2,0.9466,0.1025,0.1235,0.0069,0
01-0000009,1,baseline,2025-02-02 10:55:00,104414,gaming,AE,web,upi,19,135.52,235,0,1,0.8531,0.0413,0.0367,0.0115,0
01-0000010,1,baseline,2025-02-07 01:28:00,105483,gaming,IN,android,upi,2,117.51,413,0,4,0.8793,0.0804,0.0695,0.0188,0
01-0000011,1,baseline,2025-02-05 04:02:00,113840,fashion,IN,web,card,3,274.43,181,0,1,0.6368,0.0814,0.254,0.0172,0
01-0000012,1,baseline,2025-02-08 07:40:00,111634,fuel,US,ios,upi,5,47.12,203,0,2,0.8565,0.1239,0.2589,0.0147,0
01-0000013,1,baseline,2025-02-04 08:31:00,113039,grocery,IN,android,upi,12,107.25,533,0,0,0.8912,0.3266,0.2238,0.0068,0
01-0000014,1,baseline,2025-02-14 03:24:00,102020,utilities,IN,android,card,2,94.48,441,0,0,0.7231,0.194,0.2509,0.0119,0
01-0000015,1,baseline,2025-02-10 12:50:00,105462,electronics,IN,android,netbanking,22,110.35,302,0,4,0.6624,0.0709,0.4908,0.0213,0
01-0000016,1,baseline,2025-02-01 03:56:00,101106,electronics,IN,pos,upi,8,9.71,619,1,3,0.9382,0.1414,0.0387,0.0071,0
01-0000017,1,baseline,2025-02-07 12:48:00,114597,travel,IN,ios,upi,4,180.98,824,0,1,0.887,0.26,0.3988,0.0206,0
01-0000018,1,baseline,2025-02-10 07:22:00,109955,travel,US,android,card,7,117.94,553,0,0,0.823,0.1239,0.0826,0.0138,0
01-0000019,1,baseline,2025-02-06 06:45:00,103367,food_delivery,AE,android,upi,14,67.29,711,1,5,0.8039,0.0395,0.0796,0.0242,0
01-0000020,1,baseline,2025-02-11 06:45:00,112216,pharmacy,IN,web,upi,5,89.52,918,0,0,0.6617,0.2891,0.0949,0.0101,0
01-0000021,1,baseline,2025-02-07 21:46:00,112082,fuel,IN,android,wallet,7,31.12,560,1,2,0.9465,0.0203,0.0751,0.0053,0
01-0000022,1,baseline,2025-02-01 18:37:00,104813,travel,IN,ios,wallet,22,76.45,193,0,2,0.9043,0.2039,0.1436,0.0126,0
01-0000023,1,baseline,2025-02-13 23:43:00,110213,fuel,IN,ios,card,12,140.84,138,0,0,0.6443,0.1774,0.1514,0.0104,0
01-0000024,1,baseline,2025-02-13 02:38:00,101516,pharmacy,IN,android,upi,9,31.26,579,1,2,0.7728,0.1676,0.0372,0.0102,0
01-0000025,1,baseline,2025-02-08 04:27:00,107065,fashion,IN,web,netbanking,9,178.77,252,0,0,0.6961,0.3452,0.4043,0.0153,0
01-0000026,1,baseline,2025-02-13 15:20:00,108317,gaming,US,android,upi,16,46.16,375,0,0,0.6387,0.1938,0.0479,0.0171,0
01-0000027,1,baseline,2025-02-08 07:49:00,100462,electronics,IN,android,upi,0,57.75,289,0,2,0.9102,0.2911,0.3426,0.0138,0
01-0000028,1,baseline,2025-02-12 23:39:00,111402,electronics,US,android,upi,1,103.01,498,0,1,0.872,0.1768,0.2165,0.0128,0
01-0000029,1,baseline,2025-02-02 18:44:00,113421,grocery,IN,web,upi,20,75.88,237,1,2,0.771,0.0941,0.4291,0.017,0
01-0000030,1,baseline,2025-02-10 05:00:00,110589,grocery,IN,android,wallet,18,523.98,400,1,2,0.8782,0.0548,0.0648,0.0103,0
01-0000031,1,baseline,2025-02-03 17:25:00,108604,travel,AE,web,upi,14,27.32,112,0,2,0.5565,0.1625,0.0638,0.0292,0
01-0000032,1,baseline,2025-02-13 09:25:00,114687,travel,IN,ios,wallet,4,233.95,319,0,4,0.8138,0.1961,0.3438,0.0433,0
01-0000033,1,baseline,2025-02-08 21:04:00,105854,grocery,US,pos,card,19,107.91,362,0,4,0.8575,0.0362,0.311,0.0198,0
01-0000034,1,baseline,2025-02-07 09:02:00,106221,fashion,US,android,upi,23,52.72,228,1,2,0.7819,0.2773,0.1812,0.0364,0
01-0000035,1,baseline,2025-02-09 05:01:00,105320,fuel,US,android,card,23,190.05,108,0,2,0.7916,0.1317,0.0695,0.0209,0
01-0000036,1,baseline,2025-02-13 14:18:00,106852,grocery,AE,web,upi,19,165.73,297,1,3,0.6656,0.0523,0.342,0.0368,0
01-0000037,1,baseline,2025-02-01 07:13:00,109779,pharmacy,IN,android,card,23,18.39,290,0,4,0.4432,0.0267,0.4102,0.0341,0
01-0000038,1,baseline,2025-02-01 03:28:00,107407,gaming,IN,ios,netbanking,16,136.65,227,0,6,0.8895,0.2964,0.2327,0.045,0
01-0000039,1,baseline,2025-02-04 03:07:00,105205,grocery,IN,android,card,22,137.7,864,0,1,0.7092,0.0703,0.1492,0.0074,0
01-0000040,1,baseline,2025-02-04 23:11:00,109110,pharmacy,IN,ios,upi,18,68.44,809,0,4,0.7569,0.1176,0.2134,0.0116,0
01-0000041,1,baseline,2025-02-13 14:33:00,107613,grocery,US,web,wallet,4,166.14,179,0,3,0.6643,0.1632,0.2536,0.0355,0
01-0000042,1,baseline,2025-02-01 05:14:00,100893,gaming,BR,android,card,8,101.76,283,0,1,0.9228,0.0131,0.1193,0.0119,0
