transaction_id,batch_id,batch_type,event_timestamp,account_id,merchant_category,country,channel,payment_method,transaction_hour,amount,account_age_days,prior_chargebacks,login_velocity_24h,device_trust_score,ip_risk_score,merchant_risk_score,fraud_probability_simulated,label_fraud
02-0000000,2,feature_drift,2025-03-10 04:59:00,106646,electronics,IN,android,card,11,32.15,283,0,7,0.9785,0.383,0.0413,0.0258,0
02-0000001,2,feature_drift,2025-03-02 16:15:00,102399,pharmacy,IN,android,upi,6,253.38,119,0,4,0.8896,0.3879,0.0749,0.0197,0
02-0000002,2,feature_drift,2025-03-08 10:03:00,108131,grocery,IN,android,netbanking,20,323.17,612,0,7,0.8578,0.368,0.4854,0.0564,0
02-0000003,2,feature_drift,2025-03-02 01:37:00,108789,food_delivery,IN,web,card,13,171.63,263,0,3,0.8579,0.2024,0.2052,0.0144,0
02-0000004,2,feature_drift,2025-03-13 22:00:00,103635,food_delivery,IN,web,card,1,88.8,192,0,4,0.8003,0.2449,0.1334,0.0248,0
02-0000005,2,feature_drift,2025-03-08 00:39:00,112357,fashion,IN,web,card,10,33.94,197,0,4,0.7327,0.1667,0.1001,0.0152,0
02-0000006,2,feature_drift,2025-03-10 11:44:00,104300,jewellery,IN,web,card,8,61.47,454,1,2,0.7989,0.2988,0.114,0.0337,0
02-0000007,2,feature_drift,2025-03-01 18:33:00,104458,travel,GB,android,upi,13,41.67,564,0,2,0.7889,0.2417,0.1274,0.0222,0
02-0000008,2,feature_drift,2025-03-05 00:20:00,101311,pharmacy,US,android,upi,16,245.0,381,0,7,0.7445,0.1325,0.1395,0.0443,0
02-0000009,2,feature_drift,2025-03-07 11:12:00,110273,utilities,IN,web,card,20,67.23,555,0,4,0.7762,0.4604,0.0358,0.0252,0
02-0000010,2,feature_drift,2025-03-02 12:01:00,109699,grocery,SG,ios,card,13,146.49,596,0,3,0.9443,0.3066,0.1725,0.0206,0
02-0000011,2,feature_drift,2025-03-11 18:21:00,106958,electronics,AE,web,upi,8,50.65,426,0,4,0.86,0.4184,0.2375,0.031,0
02-0000012,2,feature_drift,2025-03-07 16:00:00,105227,gaming,IN,web,upi,18,28.3,832,1,8,0.9182,0.2781,0.2173,0.0679,0
02-0000013,2,feature_drift,2025-03-12 09:55:00,113370,electronics,IN,android,card,21,78.94,367,0,5,0.7296,0.4867,0.0196,0.0383,0
02-0000014,2,feature_drift,2025-03-01 00:10:00,112039,grocery,IN,ios,card,7,198.98,258,0,5,0.6654,0.5231,0.3736,0.082,0
02-0000015,2,feature_drift,2025-03-01 22:32:00,108473,electronics,AE,web,card,4,146.67,561,0,0,0.9548,0.272,0.1888,0.0132,0
02-0000016,2,feature_drift,2025-03-11 19:19:00,109139,travel,IN,web,wallet,21,482.14,345,0,6,0.5074,0.2118,0.1882,0.0877,0
02-0000017,2,feature_drift,2025-03-03 03:57:00,114897,gaming,IN,web,upi,18,62.05,290,1,6,0.941,0.2511,0.3221,0.0577,0
02-0000018,2,feature_drift,2025-03-05 09:08:00,100805,fashion,DE,web,card,7,123.54,428,0,5,0.673,0.1417,0.2527,0.0424,0
02-0000019,2,feature_drift,2025-03-04 20:58:00,103637,food_delivery,US,web,netbanking,7,811.24,506,0,3,0.8882,0.1132,0.3746,0.0205,0
02-0000020,2,feature_drift,2025-03-09 20:46:00,102430,fuel,IN,android,wallet,8,320.14,611,0,5,0.7139,0.143,0.3204,0.0248,0
02-0000021,2,feature_drift,2025-03-10 17:04:00,101639,food_delivery,IN,web,wallet,10,141.54,151,0,3,0.6662,0.5717,0.3501,0.0475,0
02-0000022,2,feature_drift,2025-03-07 15:11:00,106405,jewellery,IN,ios,wallet,10,36.08,163,0,4,0.8361,0.6004,0.0499,0.0438,0
02-0000023,2,feature_drift,2025-03-09 13:00:00,105183,electronics,IN,ios,card,2,172.28,111,1,5,0.6451,0.3263,0.1202,0.0883,0
02-0000024,2,feature_drift,2025-03-02 03:15:00,112560,gaming,BR,android,card,7,35.72,355,1,2,0.5634,0.3535,0.0988,0.0863,0
02-0000025,2,feature_drift,2025-03-11 16:43:00,111688,pharmacy,US,ios,card,12,112.95,114,0,2,0.8553,0.2352,0.141,0.0177,0
02-0000026,2,feature_drift,2025-03-02 08:27:00,114714,electronics,US,web,card,0,73.17,234,0,3,0.7922,0.1205,0.2928,0.0277,0
02-0000027,2,feature_drift,2025-03-02 13:08:00,108094,fashion,NG,android,card,14,45.75,315,0,3,0.8866,0.2234,0.1447,0.0168,0
02-0000028,2,feature_drift,2025-03-03 12:50:00,106836,grocery,GB,web,wallet,14,101.71,470,1,1,0.8306,0.5599,0.4726,0.0551,0
02-0000029,2,feature_drift,2025-03-05 08:52:00,113863,grocery,IN,web,wallet,11,146.17,106,0,6,0.6833,0.2133,0.3924,0.0418,0
02-0000030,2,feature_drift,2025-03-14 13:09:00,110497,grocery,IN,ios,card,19,172.87,419,1,4,0.8728,0.0969,0.1522,0.0203,0
02-0000031,2,feature_drift,2025-03-02 06:09:00,114915,electronics,IN,android,netbanking,10,126.05,262,0,2,0.7757,0.0508,0.3252,0.0088,0
02-0000032,2,feature_drift,2025-03-04 17:00:00,108393,fuel,GB,ios,upi,19,74.2,458,1,4,0.8968,0.2767,0.1106,0.0308,0
02-0000033,2,feature_drift,2025-03-13 12:01:00,113833,food_delivery,IN,ios,card,7,155.16,682,0,2,0.6743,0.4416,0.299,0.0289,0
02-0000034,2,feature_drift,2025-03-08 10:58:00,102087,travel,IN,android,card,11,69.24,401,0,4,0.775,0.1605,0.4143,0.0358,0
02-0000035,2,feature_drift,2025-03-01 21:38:00,102434,grocery,IN,web,upi,15,267.03,309,0,4,0.6818,0.1359,0.0963,0.0169,0
02-0000036,2,feature_drift,2025-03-05 03:38:00,108289,fashion,IN,web,netbanking,6,544.6,543,0,6,0.7196,0.4752,0.238,0.0628,1
02-0000037,2,feature_drift,2025-03-04 22:57:00,108851,utilities,SG,ios,upi,21,46.08,375,0,6,0.9764,0.2082,0.1943,0.0222,0
02-0000038,2,feature_drift,2025-03-11 23:26:00,114530,gaming,SG,web,card,18,318.64,637,0,3,0.907,0.1097,0.2463,0.0296,0
02-0000039,2,feature_drift,2025-03-02 01:15:00,110884,fashion,IN,ios,card,0,115.43,688,1,3,0.9171,0.689,0.2031,0.0681,1
