transaction_id,batch_id,batch_type,event_timestamp,account_id,merchant_category,country,channel,payment_method,transaction_hour,amount,account_age_days,prior_chargebacks,login_velocity_24h,device_trust_score,ip_risk_score,merchant_risk_score,fraud_probability_simulated,label_fraud
04-0000000,4,quality_issue,2025-05-12 12:53:00,110552,electronics,IN,pos,wallet,8,143.66,832,0,0,0.6782,0.0814,0.1152,0.0066,0
04-0000001,4,quality_issue,2025-05-10 21:17:00,112578,fashion,DE,android,upi,18,313.96,614,0,0,0.7277,0.275,0.1332,0.0175,0
04-0000002,4,quality_issue,2025-05-08 08:17:00,105121,utilities,GB,web,upi,14,144.36,136,1,4,0.9308,0.2771,0.0707,0.0415,0
04-0000003,4,quality_issue,2025-05-13 10:33:00,110382,food_delivery,IN,web,card,14,586.91,222,0,2,0.6068,0.1392,0.0775,0.0225,0
04-0000004,4,quality_issue,2025-05-10 19:10:00,103977,grocery,IN,ios,card,19,82.73,301,0,6,0.953,0.1472,0.1492,0.0214,0
04-0000005,4,quality_issue,2025-05-04 18:33:00,103241,utilities,SG,web,card,8,6.34,261,0,3,0.8436,0.464,0.4688,0.0453,0
04-0000006,4,quality_issue,2025-05-11 15:49:00,102784,food_delivery,BR,ios,card,22,89.0,561,0,3,0.3591,0.1288,0.189,0.0554,0
04-0000007,4,quality_issue,2025-05-02 01:50:00,101881,food_delivery,IN,web,upi,4,186.3,291,0,6,0.9107,0.3512,0.3843,0.0583,0
04-0000008,4,quality_issue,2025-05-04 10:15:00,109850,utilities,IN,web,card,22,4.03,104,0,3,0.9225,0.185,0.2314,0.0099,0
04-0000009,4,quality_issue,2025-05-10 22:04:00,105626,fashion,IN,android,wallet,6,47.84,623,0,2,0.7039,0.0029,0.1366,0.0075,0
04-0000010,4,quality_issue,2025-05-01 07:16:00,102689,gaming,IN,web,card,17,203.43,355,0,2,0.8729,0.2798,0.2998,0.0329,0
04-0000011,4,quality_issue,2025-05-14 03:19:00,111308,utilities,IN,web,wallet,15,40.8,748,1,5,0.8053,0.6246,0.164,0.0734,0
04-0000012,4,quality_issue,2025-05-01 20:13:00,104596,electronics,IN,web,card,11,119.18,423,0,5,0.9254,0.1358,0.3883,0.0241,0
04-0000013,4,quality_issue,2025-05-05 03:03:00,111027,grocery,IN,android,upi,17,92.94,174,1,3,0.8522,0.2584,0.0333,0.0217,0
04-0000014,4,quality_issue,2025-05-13 06:38:00,105608,grocery,IN,android,wallet,6,336.02,885,0,6,0.9102,0.1595,0.0673,0.019,0
04-0000015,4,quality_issue,2025-05-14 04:17:00,106193,food_delivery,AE,android,upi,22,91.67,262,0,3,0.9716,0.1444,0.3331,0.0174,0
04-0000016,4,quality_issue,2025-05-13 02:13:00,114604,gaming,NG,android,card,9,120.33,292,1,5,0.7852,0.2762,0.2817,0.1572,0
04-0000017,4,quality_issue,2025-05-10 04:24:00,109673,,AE,android,card,5,198.59,161,0,5,0.6705,0.2753,0.3924,0.1224,0
04-0000018,4,quality_issue,2025-05-07 02:01:00,103150,fuel,AE,pos,upi,8,65.37,456,0,0,0.7978,0.68,0.1046,0.0302,0
04-0000019,4,quality_issue,2025-05-14 21:40:00,112363,travel,IN,ios,netbanking,13,1209.91,261,0,6,,0.1498,0.28,0.0643,0
04-0000020,4,quality_issue,2025-05-09 16:18:00,105562,gaming,DE,android,wallet,5,84.27,276,0,1,0.9319,0.1727,0.047,0.0207,0
04-0000021,4,quality_issue,2025-05-01 03:31:00,100994,pharmacy,SG,android,card,14,107.51,187,0,5,,0.7721,0.2673,0.1706,0
04-0000022,4,quality_issue,2025-05-03 13:52:00,105593,travel,US,web,card,20,63.21,163,0,5,0.9604,0.1593,0.1034,0.0434,0
04-0000023,4,quality_issue,2025-05-07 02:02:00,108074,electronics,IN,ios,card,8,91.41,618,0,4,0.8751,0.1992,0.112,0.0165,0
