feature,mean_abs_shap_baseline,mean_abs_shap_drift_batch,shap_impact_change
login_velocity_24h,0.23516251,0.31555012,0.08038761
amount,0.2998855,0.31635907,0.016473562
account_age_days,0.23855516,0.25114578,0.012590617
country_AE,0.03328932,0.042555243,0.009265922
prior_chargebacks,0.012028852,0.019732455,0.0077036032
merchant_category_jewellery,0.0033300645,0.008357676,0.0050276113
payment_method_wallet,0.044282194,0.048685387,0.0044031925
merchant_category_gaming,0.007977546,0.011855898,0.0038783522
country_BR,0.017229315,0.02014504,0.002915725
channel_android,0.022320686,0.02508583,0.0027651433
merchant_category_electronics,0.016757444,0.019107526,0.0023500826
transaction_hour,0.16002826,0.16231708,0.0022888184
merchant_category_travel,0.016610758,0.017202243,0.00059148483
merchant_category_fuel,0.010679195,0.011235935,0.00055674
merchant_category_fashion,0.010145784,0.010678464,0.00053267926
channel_pos,0.009625793,0.009684124,5.8330595e-05
country_US,0.0083972365,0.008186083,-0.00021115318
country_SG,0.007174066,0.0058456403,-0.0013284255
country_NG,0.014704341,0.013228488,-0.0014758529
country_DE,0.0061336416,0.004649038,-0.0014846036
channel_web,0.03493331,0.032644555,-0.002288755
payment_method_netbanking,0.0077461414,0.0053673997,-0.0023787417
channel_ios,0.007949739,0.005455609,-0.0024941298
country_GB,0.023806866,0.021131484,-0.0026753824
payment_method_card,0.05877402,0.052679945,-0.0060940757
merchant_category_pharmacy,0.017223444,0.01092532,-0.006298124
payment_method_upi,0.051178686,0.044094045,-0.0070846416
merchant_category_grocery,0.089167915,0.077899404,-0.011268511
merchant_risk_score,0.30217147,0.2906865,-0.011484981
merchant_category_food_delivery,0.04587737,0.029877039,-0.016000332
merchant_category_utilities,0.10901246,0.07032555,-0.03868691
device_trust_score,0.28681025,0.24393667,-0.042873576
country_IN,0.30126342,0.22342943,-0.077833995
ip_risk_score,0.28472933,0.19942003,-0.0853093
