feature,mean_abs_shap
amount,0.31635907
login_velocity_24h,0.31555012
merchant_risk_score,0.2906865
account_age_days,0.25114578
device_trust_score,0.24393667
country_IN,0.22342943
ip_risk_score,0.19942003
transaction_hour,0.16231708
merchant_category_grocery,0.077899404
merchant_category_utilities,0.07032555
payment_method_card,0.052679945
payment_method_wallet,0.048685387
payment_method_upi,0.044094045
country_AE,0.042555243
channel_web,0.032644555
merchant_category_food_delivery,0.029877039
channel_android,0.02508583
country_GB,0.021131484
country_BR,0.02014504
prior_chargebacks,0.019732455
merchant_category_electronics,0.019107526
merchant_category_travel,0.017202243
country_NG,0.013228488
merchant_category_gaming,0.011855898
merchant_category_fuel,0.011235935
merchant_category_pharmacy,0.01092532
merchant_category_fashion,0.010678464
channel_pos,0.009684124
merchant_category_jewellery,0.008357676
country_US,0.008186083
country_SG,0.0058456403
channel_ios,0.005455609
payment_method_netbanking,0.0053673997
country_DE,0.004649038
